"","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","eFG.","TOV.","ORB.","FT.FGA","eFG..1","TOV..1","DRB.","FT.FGA.1","Arena","Attend.","Attend..G","Year"
"289",19,"Los Angeles Lakers",28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,"Crypto.com Arena",793945,18925,2024
"290",20,"Chicago Bulls",28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,"United Center",845620,20625,2024
"291",21,"Atlanta Hawks",26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,"State Farm Arena",696418,16986,2024
"292",22,"Brooklyn Nets",26.1,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,"Barclays Center",720291,17568,2024
"293",23,"Utah Jazz",25.1,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,"Delta Center",746446,18206,2024
"294",24,"San Antonio Spurs",23,22,60,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,"Frost Bank Center",742522,18211,2024
"295",25,"Toronto Raptors",25.9,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,"Scotiabank Arena",800129,19515,2024
"296",26,"Memphis Grizzlies",24.4,27,55,24,58,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,"FedEx Forum",681875,16631,2024
"297",27,"Detroit Pistons",23.8,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,"Little Caesars Arena",726378,18159,2024
"298",28,"Washington Wizards",24.9,15,67,20,62,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,"Capital One Arena",692851,16899,2024
"299",29,"Portland Trail Blazers",24.1,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,"Moda Center",751395,18327,2024
"300",30,"Charlotte Hornets",25.1,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,"Spectrum Center",674400,16449,2024
"301",1,"Oklahoma City Thunder",24.8,68,14,68,14,12.87,-0.16,12.7,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,"Paycom Center",754832,17973,2025
"302",2,"Boston Celtics",28.9,61,21,62,20,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154,"TD Garden",785396,19156,2025
"303",3,"Cleveland Cavaliers",26.6,64,18,62,20,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,"Rocket Arena",796712,19432,2025
"304",4,"Minnesota Timberwolves",27.2,49,33,53,29,5,0.15,5.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,0.532,13.2,75.1,0.178,"Target Center",772249,18835,2025
"305",5,"Los Angeles Clippers",29.7,50,32,53,29,4.66,0.18,4.84,115.1,110.3,4.8,97.5,0.251,0.387,0.589,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189,"Intuit Dome",679593,16575,2025
"306",6,"Memphis Grizzlies",24.7,48,34,52,30,4.85,-0.06,4.79,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,"FedEx Forum",683067,16660,2025
"307",7,"Houston Rockets",24.9,52,30,52,30,4.51,0.45,4.97,115.3,110.8,4.5,98.6,0.242,0.384,0.553,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186,"Toyota Center",716853,17484,2025
"308",8,"New York Knicks",27.5,51,31,51,31,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,0.549,13.1,74.5,0.176,"Madison Square Garden (IV)",811794,19800,2025
"309",9,"Denver Nuggets",27,50,32,50,32,3.89,0.08,3.97,119.9,116,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,"Ball Arena",811211,19786,2025
"310",10,"Golden State Warriors",28.6,48,34,49,33,3.3,0.25,3.56,115,111.7,3.3,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,"Chase Center",740624,18064,2025
"311",11,"Milwaukee Bucks",29.3,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,0.568,12.2,19.3,0.201,0.533,11.4,76.2,0.174,"Fiserv Forum",732014,17437,2025
"312",12,"Indiana Pacers",25.8,50,32,46,36,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,"Gainbridge Fieldhouse",685434,16737,2025
"313",13,"Detroit Pistons",25.8,44,38,46,36,1.9,-0.17,1.73,115,113.1,1.9,99.8,0.248,0.394,0.58,0.547,13,26.2,0.192,0.539,13.3,76,0.214,"Little Caesars Arena",781929,19071,2025
"314",14,"Los Angeles Lakers",27.9,50,32,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178,"Crypto.com Arena",767626,18723,2025
"315",15,"Miami Heat",26.8,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157,"Kaseya Center",808337,19716,2025
"316",16,"Sacramento Kings",27.8,40,42,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,0.557,12.5,76.9,0.2,"Golden 1 Center",696409,16986,2025
"317",17,"Orlando Magic",24.9,41,41,41,41,-0.12,-0.58,-0.7,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,0.51,12.9,25.3,0.208,0.538,15,77,0.22,"Kia Center",762121,18588,2025
"318",18,"Atlanta Hawks",24.9,40,42,38,44,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76,0.202,"State Farm Arena",657613,16440,2025
"319",19,"Dallas Mavericks",27.5,39,43,38,44,-1.2,0.46,-0.74,114.8,116,-1.2,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,"American Airlines Center",803174,20079,2025
"320",20,"Chicago Bulls",25.2,39,43,37,45,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,"United Center",825659,20138,2025
"321",21,"San Antonio Spurs",26,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0.544,12.3,24.3,0.181,0.551,12,73,0.158,"Frost Bank Center",731474,17976,2025
"322",22,"Portland Trail Blazers",23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3,98.8,0.246,0.418,0.555,0.521,13.8,29.2,0.187,0.543,13.6,72.5,0.204,"Moda Center",719369,17546,2025
"323",23,"Phoenix Suns",29.1,36,46,34,48,-3,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,0.552,10.9,74.1,0.191,"Footprint Center",699911,17071,2025
"324",24,"Toronto Raptors",24.5,30,52,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0.522,13.3,27.3,0.173,0.541,13.2,73.9,0.222,"Scotiabank Arena",768573,18746,2025
"325",25,"Philadelphia 76ers",27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0.527,12.3,23.4,0.201,0.57,14.3,71.8,0.194,"Wells Fargo Center",813621,19844,2025
"326",26,"Brooklyn Nets",24.7,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75,0.218,"Barclays Center",713304,17398,2025
"327",27,"Utah Jazz",23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100,0.252,0.449,0.568,0.533,14.9,26.9,0.195,0.559,10.3,74.1,0.185,"Delta Center",745175,18175,2025
"328",28,"Charlotte Hornets",25.1,19,63,20,62,-9.11,0.01,-9.1,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,"Spectrum Center",703935,17169,2025
"329",29,"New Orleans Pelicans",25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0.519,12.8,26.3,0.184,0.564,12.3,72.7,0.19,"Smoothie King Center",689400,16815,2025
"330",30,"Washington Wizards",23.5,18,64,15,67,-12.44,0.3,-12.14,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0.512,13.6,22.7,0.178,0.548,11.4,71.9,0.202,"Capital One Arena",663691,16084,2025
